,,Location 2021,,-->,Location 2022,AIFDB,
cutietestrun22July2021,cutietestrun22July2021,21896,,,23969,,
cutietestrun22July2021,cutietestrun22July2021,21887,,,25396,23970,
cutietestrun22July2021,cutietestrun22July2021,21892,,,23971,,
cutietestrun22July2021,cutietestrun22July2021,21895,,,23972,,
cutietestrun22July2021,cutietestrun22July2021,21897,,,23973,,
cutietestrun22July2021,cutietestrun22July2021,21894,,,25730,23974,
cutietestrun22July2021,cutietestrun22July2021,21893,,,23976,,
,,,,,,,
cutietestrun22July2021,IAAcuties22July2021old,21868,,,23388,,
cutietestrun22July2021,IAAcuties22July2021old,21866,,,23391,,
cutietestrun22July2021,IAAcuties22July2021old,21876,,,23396,,
cutietestrun22July2021,IAAcuties22July2021old,21890,,,23398,,
,,,,,,,
cutietestrun22July2021,IAAcuties22July2021new,22219,,,23430,,
cutietestrun22July2021,IAAcuties22July2021new,22220,,,23428,,
cutietestrun22July2021,IAAcuties22July2021new,22222,,,23425,,
cutietestrun22July2021,IAAcuties22July2021new,22225,,,23458,23399,
,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21639,21639,,,,
cutietestrun8july2021,cutietestrun8july2021,21641,21641,,,,
cutietestrun8july2021,cutietestrun8july2021,21638,21638,,,,
cutietestrun8july2021,cutietestrun8july2021,21640,21640,,,,
cutietestrun8july2021,cutietestrun8july2021,21642,21642,,,,
cutietestrun8july2021,cutietestrun8july2021,21647,23380,,,21647,
cutietestrun8july2021,cutietestrun8july2021,21643,21643,,,,
cutietestrun8july2021,cutietestrun8july2021,21648,21648,,,,
cutietestrun8july2021,cutietestrun8july2021,21689,21689,,,,
cutietestrun8july2021,cutietestrun8july2021,21645,21645,,,,
cutietestrun8july2021,cutietestrun8july2021,21644,21644,,,,
cutietestrun8july2021,cutietestrun8july2021,21655,21655,,,,
cutietestrun8july2021,cutietestrun8july2021,21690,21690,,,,
cutietestrun8july2021,cutietestrun8july2021,21660,21660,,,,
cutietestrun8july2021,cutietestrun8july2021,21652,21652,,,,
cutietestrun8july2021,cutietestrun8july2021,21691,23382,,,21691,
cutietestrun8july2021,cutietestrun8july2021,21653,21653,,,,
cutietestrun8july2021,cutietestrun8july2021,21677,21677,,,,
cutietestrun8july2021,cutietestrun8july2021,21726,25491,,,21726,
cutietestrun8july2021,cutietestrun8july2021,21650,21650,,,,
cutietestrun8july2021,cutietestrun8july2021,21646,21646,,,,
cutietestrun8july2021,cutietestrun8july2021,21649,21649,,,,
cutietestrun8july2021,cutietestrun8july2021,21688,23384,,,21688,
cutietestrun8july2021,cutietestrun8july2021,21738,21738,,,,
cutietestrun8july2021,cutietestrun8july2021,21681,21681,,,,
cutietestrun8july2021,cutietestrun8july2021,21705,21705,,,,
cutietestrun8july2021,cutietestrun8july2021,21716,21716,,,,
cutietestrun8july2021,cutietestrun8july2021,21678,21678,,,,
cutietestrun8july2021,cutietestrun8july2021,21682,21682,,,,
cutietestrun8july2021,cutietestrun8july2021,21711,21711,,,,
cutietestrun8july2021,cutietestrun8july2021,21700,21700,,,,
cutietestrun8july2021,cutietestrun8july2021,21709,21709,,,,
cutietestrun8july2021,cutietestrun8july2021,21731,21731,,,,
cutietestrun8july2021,cutietestrun8july2021,21685,23386,,,21685,
cutietestrun8july2021,cutietestrun8july2021,21703,21703,,,,
cutietestrun8july2021,cutietestrun8july2021,21728,21728,,,,
cutietestrun8july2021,cutietestrun8july2021,21745,21745,,,,
cutietestrun8july2021,cutietestrun8july2021,21746,21746,,,,
cutietestrun8july2021,cutietestrun8july2021,21756,21756,,,,
cutietestrun8july2021,cutietestrun8july2021,21737,21737,,,,
,,,,,,,
cutietestrun8july2021,IAAcuties8July2021old,21647,21647,,23380,,
cutietestrun8july2021,IAAcuties8July2021old,21691,21691,,23382,,
cutietestrun8july2021,IAAcuties8July2021old,21688,21688,,23384,,
cutietestrun8july2021,IAAcuties8July2021old,21685,21685,,23386,,
,,,,,,,
cutietestrun8july2021,IAAcuties8July2021new,22214,,,23381,,
cutietestrun8july2021,IAAcuties8July2021new,22215,,,23456,23383,
cutietestrun8july2021,IAAcuties8July2021new,22216,,,23385,,
cutietestrun8july2021,IAAcuties8July2021new,22217,,,23457,23387,
,,,,,,,
cutietestrun24June2021,cutietestrun24June2021,21566,21566,,,,
cutietestrun24June2021,cutietestrun24June2021,21568,21568,,,,
cutietestrun24June2021,cutietestrun24June2021,21567,21567,,,,
cutietestrun24June2021,cutietestrun24June2021,21569,21569,,,,
cutietestrun24June2021,cutietestrun24June2021,21570,21570,,,,
cutietestrun24June2021,cutietestrun24June2021,21573,21573,,,,
cutietestrun24June2021,cutietestrun24June2021,21575,21575,,,,
cutietestrun24June2021,cutietestrun24June2021,21572,21572,,,,
cutietestrun24June2021,cutietestrun24June2021,21571,21571,,,,
cutietestrun24June2021,cutietestrun24June2021,21576,21576,,,,
cutietestrun24June2021,cutietestrun24June2021,21574,21574,,,,
cutietestrun24June2021,cutietestrun24June2021,21577,21577,,,,
cutietestrun24June2021,cutietestrun24June2021,21579,21579,,,,
cutietestrun24June2021,cutietestrun24June2021,21584,21584,,,,
cutietestrun24June2021,cutietestrun24June2021,21583,23372,,,21583,
cutietestrun24June2021,cutietestrun24June2021,21586,21586,,,,
cutietestrun24June2021,cutietestrun24June2021,21585,21585,,,,
cutietestrun24June2021,cutietestrun24June2021,21588,21588,,,,
cutietestrun24June2021,cutietestrun24June2021,21580,21580,,,,
cutietestrun24June2021,cutietestrun24June2021,21582,21582,,,,
cutietestrun24June2021,cutietestrun24June2021,21587,21587,,,,
cutietestrun24June2021,cutietestrun24June2021,21581,21581,,,,
cutietestrun24June2021,cutietestrun24June2021,21589,21589,,,,
cutietestrun24June2021,cutietestrun24June2021,21593,21593,,,,
cutietestrun24June2021,cutietestrun24June2021,21591,23374,,,21591,
cutietestrun24June2021,cutietestrun24June2021,21594,21594,,,,
cutietestrun24June2021,cutietestrun24June2021,21598,21598,,,,
cutietestrun24June2021,cutietestrun24June2021,21592,21592,,,,
cutietestrun24June2021,cutietestrun24June2021,21595,21595,,,,
cutietestrun24June2021,cutietestrun24June2021,21607,21607,,,,
cutietestrun24June2021,cutietestrun24June2021,21600,23376,,,21600,
cutietestrun24June2021,cutietestrun24June2021,21599,21599,,,,
cutietestrun24June2021,cutietestrun24June2021,21604,21604,,,,
cutietestrun24June2021,cutietestrun24June2021,21608,21608,,,,
cutietestrun24June2021,cutietestrun24June2021,21612,21612,,,,
cutietestrun24June2021,cutietestrun24June2021,21602,21602,,,,
cutietestrun24June2021,cutietestrun24June2021,21597,23378,,,21597,
cutietestrun24June2021,cutietestrun24June2021,21596,21596,,,,
cutietestrun24June2021,cutietestrun24June2021,21603,21603,,,,
cutietestrun24June2021,cutietestrun24June2021,21611,21611,,,,
cutietestrun24June2021,cutietestrun24June2021,21601,21601,,,,
cutietestrun24June2021,cutietestrun24June2021,21614,21614,,,,
cutietestrun24June2021,cutietestrun24June2021,21609,21609,,,,
cutietestrun24June2021,cutietestrun24June2021,21606,21606,,,,
cutietestrun24June2021,cutietestrun24June2021,21613,21613,,,,
cutietestrun24June2021,cutietestrun24June2021,21610,21610,,,,
cutietestrun24June2021,cutietestrun24June2021,21605,21605,,,,
,,,,,,,
cutietestrun24June2021,IAAcuties24June2021old,21583,21583,,23372,,
cutietestrun24June2021,IAAcuties24June2021old,21591,21591,,23374,,
cutietestrun24June2021,IAAcuties24June2021old,21600,21600,,23376,,
cutietestrun24June2021,IAAcuties24June2021old,21597,21597,,23378,,
,,,,,,,
cutietestrun24June2021,IAAcuties24June2021new,22210,,,23453,23373,
cutietestrun24June2021,IAAcuties24June2021new,22211,,,23375,,
cutietestrun24June2021,IAAcuties24June2021new,22212,,,23543,23377,
cutietestrun24June2021,IAAcuties24June2021new,22213,,,23455,,
,,,,,,,
cutietestrun10June2021,cutietestrun10June2021,21425,21425,,,,
cutietestrun10June2021,cutietestrun10June2021,21431,21431,,,,
cutietestrun10June2021,cutietestrun10June2021,21430,21430,,,,
cutietestrun10June2021,cutietestrun10June2021,21433,21433,,,,
cutietestrun10June2021,cutietestrun10June2021,21428,21428,,,,
cutietestrun10June2021,cutietestrun10June2021,21426,21426,,,,
cutietestrun10June2021,cutietestrun10June2021,21427,21427,,,,
cutietestrun10June2021,cutietestrun10June2021,21432,21432,,,,
cutietestrun10June2021,cutietestrun10June2021,21434,21434,,,,
cutietestrun10June2021,cutietestrun10June2021,21444,21444,,,,
cutietestrun10June2021,cutietestrun10June2021,21436,21436,,,,
cutietestrun10June2021,cutietestrun10June2021,21429,21429,,,,
cutietestrun10June2021,cutietestrun10June2021,21435,23290,,,21435,
cutietestrun10June2021,cutietestrun10June2021,21438,21438,,,,
cutietestrun10June2021,cutietestrun10June2021,21441,21441,,,,
cutietestrun10June2021,cutietestrun10June2021,21439,21439,,,,
cutietestrun10June2021,cutietestrun10June2021,21437,21437,,,,
cutietestrun10June2021,cutietestrun10June2021,21445,21445,,,,
cutietestrun10June2021,cutietestrun10June2021,21443,25400,,,23301; 21443,
cutietestrun10June2021,cutietestrun10June2021,21448,21448,,,,
cutietestrun10June2021,cutietestrun10June2021,21452,21452,,,,
cutietestrun10June2021,cutietestrun10June2021,21442,21442,,,,
cutietestrun10June2021,cutietestrun10June2021,21451,21451,,,,
cutietestrun10June2021,cutietestrun10June2021,21449,21449,,,,
cutietestrun10June2021,cutietestrun10June2021,21456,21456,,,,
cutietestrun10June2021,cutietestrun10June2021,21446,21446,,,,
cutietestrun10June2021,cutietestrun10June2021,21447,21447,,,,
cutietestrun10June2021,cutietestrun10June2021,21454,21454,,,,
cutietestrun10June2021,cutietestrun10June2021,21450,21450,,,,
cutietestrun10June2021,cutietestrun10June2021,21453,21453,,,,
cutietestrun10June2021,cutietestrun10June2021,21455,21455,,,,
cutietestrun10June2021,cutietestrun10June2021,21470,23307,,,21470,
cutietestrun10June2021,cutietestrun10June2021,21472,21472,,,,
cutietestrun10June2021,cutietestrun10June2021,21458,21458,,,,
cutietestrun10June2021,cutietestrun10June2021,21477,21477,,,,
cutietestrun10June2021,cutietestrun10June2021,21465,21465,,,,
cutietestrun10June2021,cutietestrun10June2021,21476,21476,,,,
cutietestrun10June2021,cutietestrun10June2021,21467,21467,,,,
cutietestrun10June2021,cutietestrun10June2021,21457,21457,,,,
cutietestrun10June2021,cutietestrun10June2021,21461,21461,,,,
cutietestrun10June2021,cutietestrun10June2021,21459,21459,,,,
cutietestrun10June2021,cutietestrun10June2021,21462,21462,,,,
cutietestrun10June2021,cutietestrun10June2021,21473,21473,,,,
cutietestrun10June2021,cutietestrun10June2021,21464,21464,,,,
cutietestrun10June2021,cutietestrun10June2021,21460,21460,,,,
cutietestrun10June2021,cutietestrun10June2021,21471,21471,,,,
cutietestrun10June2021,cutietestrun10June2021,21463,21463,,,,
cutietestrun10June2021,cutietestrun10June2021,21468,21468,,,,
cutietestrun10June2021,cutietestrun10June2021,21479,21479,,,,
cutietestrun10June2021,cutietestrun10June2021,21474,21474,,,,
cutietestrun10June2021,cutietestrun10June2021,21480,21480,,,,
cutietestrun10June2021,cutietestrun10June2021,21475,23368,,,21475,
cutietestrun10June2021,cutietestrun10June2021,21478,21478,,,,
cutietestrun10June2021,cutietestrun10June2021,21481,21481,,,,
cutietestrun10June2021,cutietestrun10June2021,21469,21469,,,,
,,,,,,,
cutietestrun10June2021,IAAcuties10June2021old,21435,21435,,23290,,
cutietestrun10June2021,IAAcuties10June2021old,21443,21443,,23301,,
cutietestrun10June2021,IAAcuties10June2021old,21470,21470,,23307,,
cutietestrun10June2021,IAAcuties10June2021old,21475,21475,,23368,,
,,,,,,,
cutietestrun10June2021,IAAcuties10June2021new,22229,,,23298,,
cutietestrun10June2021,IAAcuties10June2021new,22230,,,23305,,
cutietestrun10June2021,IAAcuties10June2021new,22139,,,23452,,
cutietestrun10June2021,IAAcuties10June2021new,22209,,,23371,,
,,,,,,,
cutietestrun27may2021,cutietestrun27may2021,21362,21362,,,,
cutietestrun27may2021,cutietestrun27may2021,21364,21364,,,,
cutietestrun27may2021,cutietestrun27may2021,21365,21365,,,,
cutietestrun27may2021,cutietestrun27may2021,21363,21363,,,,
cutietestrun27may2021,cutietestrun27may2021,21367,21367,,,,
cutietestrun27may2021,cutietestrun27may2021,21372,21372,,,,
cutietestrun27may2021,cutietestrun27may2021,21370,21370,,,,
cutietestrun27may2021,cutietestrun27may2021,21369,21369,,,,
cutietestrun27may2021,cutietestrun27may2021,21374,25515,,,23264; 21374,
cutietestrun27may2021,cutietestrun27may2021,21366,21366,,,,
cutietestrun27may2021,cutietestrun27may2021,21379,21379,,,,
cutietestrun27may2021,cutietestrun27may2021,21371,21371,,,,
cutietestrun27may2021,cutietestrun27may2021,21384,21384,,,,
cutietestrun27may2021,cutietestrun27may2021,21387,25516,,,21387,
cutietestrun27may2021,cutietestrun27may2021,21368,21368,,,,
cutietestrun27may2021,cutietestrun27may2021,21380,21380,,,,
cutietestrun27may2021,cutietestrun27may2021,21373,21373,,,,
cutietestrun27may2021,cutietestrun27may2021,21377,25517,,,21377,
cutietestrun27may2021,cutietestrun27may2021,21383,25518,,,21383,
cutietestrun27may2021,cutietestrun27may2021,21400,21400,,,,
cutietestrun27may2021,cutietestrun27may2021,21385,23266,,,21385,
cutietestrun27may2021,cutietestrun27may2021,21382,21382,,,,
cutietestrun27may2021,cutietestrun27may2021,21375,21375,,,,
cutietestrun27may2021,cutietestrun27may2021,21381,21381,,,,
cutietestrun27may2021,cutietestrun27may2021,21376,21376,,,,
cutietestrun27may2021,cutietestrun27may2021,21378,21378,,,,
cutietestrun27may2021,cutietestrun27may2021,21391,21391,,,,
cutietestrun27may2021,cutietestrun27may2021,21392,21392,,,,
cutietestrun27may2021,cutietestrun27may2021,21393,21393,,,,
cutietestrun27may2021,cutietestrun27may2021,21389,21389,,,,
cutietestrun27may2021,cutietestrun27may2021,21386,21386,,,,
cutietestrun27may2021,cutietestrun27may2021,21388,21388,,,,
cutietestrun27may2021,cutietestrun27may2021,21402,21402,,,,
cutietestrun27may2021,cutietestrun27may2021,21403,21403,,,,
cutietestrun27may2021,cutietestrun27may2021,21396,21396,,,,
cutietestrun27may2021,cutietestrun27may2021,21395,21395,,,,
cutietestrun27may2021,cutietestrun27may2021,21397,21397,,,,
cutietestrun27may2021,cutietestrun27may2021,21398,23275,,,21398,
cutietestrun27may2021,cutietestrun27may2021,21401,21401,,,,
cutietestrun27may2021,cutietestrun27may2021,21406,21406,,,,
cutietestrun27may2021,cutietestrun27may2021,21399,21399,,,,
cutietestrun27may2021,cutietestrun27may2021,21390,21390,,,,
cutietestrun27may2021,cutietestrun27may2021,21394,21394,,,,
cutietestrun27may2021,cutietestrun27may2021,21410,25519,,,21410,
cutietestrun27may2021,cutietestrun27may2021,21414,21414,,,,
cutietestrun27may2021,cutietestrun27may2021,21408,21408,,,,
cutietestrun27may2021,cutietestrun27may2021,21415,21415,,,,
cutietestrun27may2021,cutietestrun27may2021,21417,21417,,,,
cutietestrun27may2021,cutietestrun27may2021,21413,23280,,,21413,
cutietestrun27may2021,cutietestrun27may2021,21416,21416,,,,
cutietestrun27may2021,cutietestrun27may2021,21411,21411,,,,
cutietestrun27may2021,cutietestrun27may2021,21407,21407,,,,
cutietestrun27may2021,cutietestrun27may2021,21412,21412,,,,
cutietestrun27may2021,cutietestrun27may2021,21404,21404,,,,
cutietestrun27may2021,cutietestrun27may2021,21409,21409,,,,
cutietestrun27may2021,cutietestrun27may2021,21405,21405,,,,
cutietestrun27may2021,cutietestrun27may2021,,26087,,,,
,,,,,,,
cutietestrun27may2021,IAAcuties27May2021old,21374,21374,,23264,,
cutietestrun27may2021,IAAcuties27May2021old,21385,21385,,23266,,
cutietestrun27may2021,IAAcuties27May2021old,21398,21398,,23275,,
cutietestrun27may2021,IAAcuties27May2021old,21413,21413,,23280,,
,,,,,,,
cutietestrun27may2021,IAAcuties27May2021new,22224,,,23265,,
cutietestrun27may2021,IAAcuties27May2021new,22226,,,23271,,
cutietestrun27may2021,IAAcuties27May2021new,22227,,,23277,,
cutietestrun27may2021,IAAcuties27May2021new,22228,,,23284,,
,,,,,,,
cutietestrun20may2021,cutietestrun20may2021,21268,21268,,,,
cutietestrun20may2021,cutietestrun20may2021,21271,21271,,,,
cutietestrun20may2021,cutietestrun20may2021,21273,21273,,,,
cutietestrun20may2021,cutietestrun20may2021,21269,21269,,,,
cutietestrun20may2021,cutietestrun20may2021,21270,21270,,,,
cutietestrun20may2021,cutietestrun20may2021,21279,21279,,,,
cutietestrun20may2021,cutietestrun20may2021,21272,21272,,,,
cutietestrun20may2021,cutietestrun20may2021,21277,21277,,,,
cutietestrun20may2021,cutietestrun20may2021,21285,21285,,,,
cutietestrun20may2021,cutietestrun20may2021,21276,21276,,,,
cutietestrun20may2021,cutietestrun20may2021,21284,21284,,,,
cutietestrun20may2021,cutietestrun20may2021,21275,21275,,,,
cutietestrun20may2021,cutietestrun20may2021,21278,23534,,,21278,
cutietestrun20may2021,cutietestrun20may2021,21274,21274,,,,
cutietestrun20may2021,cutietestrun20may2021,21291,21291,,,,
cutietestrun20may2021,cutietestrun20may2021,21293,21293,,,,
cutietestrun20may2021,cutietestrun20may2021,21280,21280,,,,
cutietestrun20may2021,cutietestrun20may2021,21286,21286,,,,
cutietestrun20may2021,cutietestrun20may2021,21290,23154,,,21290,
cutietestrun20may2021,cutietestrun20may2021,21295,21295,,,,
cutietestrun20may2021,cutietestrun20may2021,21296,25476,,,21296,
cutietestrun20may2021,cutietestrun20may2021,21297,21297,,,,
cutietestrun20may2021,cutietestrun20may2021,21302,21302,,,,
cutietestrun20may2021,cutietestrun20may2021,21281,21281,,,,
cutietestrun20may2021,cutietestrun20may2021,21288,21288,,,,
cutietestrun20may2021,cutietestrun20may2021,21283,21283,,,,
cutietestrun20may2021,cutietestrun20may2021,21287,21287,,,,
cutietestrun20may2021,cutietestrun20may2021,21301,21301,,,,
cutietestrun20may2021,cutietestrun20may2021,21289,21289,,,,
cutietestrun20may2021,cutietestrun20may2021,21303,21303,,,,
cutietestrun20may2021,cutietestrun20may2021,21299,21299,,,,
cutietestrun20may2021,cutietestrun20may2021,21306,21306,,,,
cutietestrun20may2021,cutietestrun20may2021,21298,21298,,,,
cutietestrun20may2021,cutietestrun20may2021,21300,21300,,,,
cutietestrun20may2021,cutietestrun20may2021,21294,21294,,,,
cutietestrun20may2021,cutietestrun20may2021,21292,23156,,,21292,
cutietestrun20may2021,cutietestrun20may2021,21305,21305,,,,
cutietestrun20may2021,cutietestrun20may2021,21304,21304,,,,
cutietestrun20may2021,cutietestrun20may2021,21307,21307,,,,
cutietestrun20may2021,cutietestrun20may2021,21309,21309,,,,
cutietestrun20may2021,cutietestrun20may2021,21308,21308,,,,
cutietestrun20may2021,cutietestrun20may2021,21315,21315,,,,
cutietestrun20may2021,cutietestrun20may2021,21310,21310,,,,
cutietestrun20may2021,cutietestrun20may2021,21330,21330,,,,
cutietestrun20may2021,cutietestrun20may2021,21311,21311,,,,
cutietestrun20may2021,cutietestrun20may2021,21326,21326,,,,
cutietestrun20may2021,cutietestrun20may2021,21327,21327,,,,
cutietestrun20may2021,cutietestrun20may2021,21329,21329,,,,
cutietestrun20may2021,cutietestrun20may2021,21320,23451,,,21320,
cutietestrun20may2021,cutietestrun20may2021,21324,21324,,,,
cutietestrun20may2021,cutietestrun20may2021,21319,21319,,,,
cutietestrun20may2021,cutietestrun20may2021,21312,21312,,,,
cutietestrun20may2021,cutietestrun20may2021,21328,21328,,,,
cutietestrun20may2021,cutietestrun20may2021,21316,21316,,,,
cutietestrun20may2021,cutietestrun20may2021,21318,21318,,,,
cutietestrun20may2021,cutietestrun20may2021,21322,21322,,,,
cutietestrun20may2021,cutietestrun20may2021,21321,21321,,,,
cutietestrun20may2021,cutietestrun20may2021,21317,21317,,,,
cutietestrun20may2021,cutietestrun20may2021,21313,21313,,,,
,,,,,,,
cutietestrun20may2021,IAAcuties20May2021old,21278,21278,,23534,23151,
cutietestrun20may2021,IAAcuties20May2021old,21290,21290,,23154,,
cutietestrun20may2021,IAAcuties20May2021old,21292,21292,,23156,,
cutietestrun20may2021,IAAcuties20May2021old,21320,21320,,23451,23158,
,,,,,,,
cutietestrun20may2021,IAAcuties20May2021new,22206,,,23532,23153,
cutietestrun20may2021,IAAcuties20May2021new,22207,,,23155,,
cutietestrun20may2021,IAAcuties20May2021new,22208,,,23157,23450,
cutietestrun20may2021,IAAcuties20May2021new,22221,,,23540,23350,
,,,,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20969,20969,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20970,20970,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20979,20979,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20972,20972,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20978,20978,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20974,20974,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20975,20975,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20971,20971,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20987,20987,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20980,20980,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20981,20981,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20989,20989,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20973,20973,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20977,20977,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20983,20983,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20994,20994,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20993,20993,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21007,21007,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20990,20990,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21005,21005,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20995,20995,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21011,25753,,,21011,
cutiestestrun29april2021,cutiestestrun29april2021,20998,20998,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20996,20996,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21008,21008,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21004,21004,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20991,20991,,,,
cutiestestrun29april2021,cutiestestrun29april2021,20992,20992,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21001,21001,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21003,21003,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21009,21009,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21025,25754,,,21025; 23142,
cutiestestrun29april2021,cutiestestrun29april2021,21018,21018,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21000,21000,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21012,21012,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21002,23146,,,21002,
cutiestestrun29april2021,cutiestestrun29april2021,21022,21022,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21015,21015,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21014,21014,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21010,21010,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21029,21029,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21016,21016,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21026,21026,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21019,21019,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21038,21038,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21020,21020,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21021,21021,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21033,21033,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21028,21028,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21024,21024,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21023,21023,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21053,21053,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21030,21030,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21035,23144,,,21035,
cutiestestrun29april2021,cutiestestrun29april2021,21051,21051,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21031,21031,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21034,23148,,,21034,
cutiestestrun29april2021,cutiestestrun29april2021,21049,21049,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21041,21041,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21032,21032,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21043,21043,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21027,21027,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21044,21044,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21055,21055,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21039,21039,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21040,21040,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21048,21048,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21047,21047,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21050,21050,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21046,21046,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21045,21045,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21054,25901,,,21054,
cutiestestrun29april2021,cutiestestrun29april2021,21052,21052,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21056,21056,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21071,21071,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21073,21073,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21075,21075,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21076,21076,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21079,21079,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21080,21080,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21081,21081,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21082,21082,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21083,21083,,,,
cutiestestrun29april2021,cutiestestrun29april2021,21084,21084,,,,
,,,,,,,
cutiestestrun29april2021,IAAcuties29April2021old,21025,21025,,23142,,
cutiestestrun29april2021,IAAcuties29April2021old,21035,21035,,23144,,
cutiestestrun29april2021,IAAcuties29April2021old,21002,21002,,23146,,
cutiestestrun29april2021,IAAcuties29April2021old,21034,21034,,23148,,
,,,,,,,
cutiestestrun29april2021,IAAcuties29April2021new,22138,,,23482,23143,
cutiestestrun29april2021,IAAcuties29April2021new,22140,,,23493,23145,
cutiestestrun29april2021,IAAcuties29April2021new,22204,,,23147,,
cutiestestrun29april2021,IAAcuties29April2021new,22205,,,23150,,
,,,,,,,
cutiestestrun15april2021,cutiestestrun15april2021,20830,20830,,,,
cutiestestrun15april2021,cutiestestrun15april2021,20832,20832,,,,
cutiestestrun15april2021,cutiestestrun15april2021,20836,20836,,,,
cutiestestrun15april2021,cutiestestrun15april2021,20831,20831,,,,
cutiestestrun15april2021,cutiestestrun15april2021,20837,20837,,,,
cutiestestrun15april2021,cutiestestrun15april2021,20833,20833,,,,
cutiestestrun15april2021,cutiestestrun15april2021,20834,20834,,,,
cutiestestrun15april2021,cutiestestrun15april2021,20840,20840,,,,
cutiestestrun15april2021,cutiestestrun15april2021,20846,20846,,,,
cutiestestrun15april2021,cutiestestrun15april2021,20835,20835,,,,
cutiestestrun15april2021,cutiestestrun15april2021,20841,20841,,,,
cutiestestrun15april2021,cutiestestrun15april2021,20855,20855,,,,
cutiestestrun15april2021,cutiestestrun15april2021,20838,20838,,,,
